Time: 1131.8 | CPU: 35.2941 | Mem: 49.8636 | Temp: 62.809
Time: 1131.85 | CPU: 33.3333 | Mem: 49.8635 | Temp: 63.296
Time: 1131.9 | CPU: 85 | Mem: 49.8824 | Temp: 63.783
Time: 1131.95 | CPU: 71.4286 | Mem: 49.9004 | Temp: 62.809
Time: 1132 | CPU: 76.4706 | Mem: 49.9838 | Temp: 64.27
Time: 1132.05 | CPU: 20 | Mem: 49.9838 | Temp: 62.809
Time: 1132.1 | CPU: 26.3158 | Mem: 49.9845 | Temp: 63.783
Time: 1132.15 | CPU: 15 | Mem: 49.9845 | Temp: 63.296
Time: 1132.2 | CPU: 27.7778 | Mem: 49.9845 | Temp: 63.296
Time: 1132.25 | CPU: 10.5263 | Mem: 49.9845 | Temp: 63.296
Time: 1132.3 | CPU: 33.3333 | Mem: 49.9854 | Temp: 63.783
Time: 1132.35 | CPU: 16.6667 | Mem: 49.9854 | Temp: 62.809
Time: 1132.4 | CPU: 21.0526 | Mem: 49.9854 | Temp: 62.809
Time: 1132.45 | CPU: 19.0476 | Mem: 49.9853 | Temp: 62.809
Time: 1132.5 | CPU: 21.0526 | Mem: 49.9885 | Temp: 63.296
Time: 1132.55 | CPU: 11.1111 | Mem: 49.9885 | Temp: 62.322
Time: 1132.6 | CPU: 26.3158 | Mem: 49.9885 | Temp: 62.809
Time: 1132.65 | CPU: 38.8889 | Mem: 49.9885 | Temp: 63.296
Time: 1132.7 | CPU: 57.8947 | Mem: 49.9885 | Temp: 64.27
Time: 1132.75 | CPU: 36.8421 | Mem: 49.9884 | Temp: 63.783
Time: 1132.8 | CPU: 26.3158 | Mem: 49.9884 | Temp: 63.783
Time: 1132.85 | CPU: 19.0476 | Mem: 49.9884 | Temp: 63.296
Time: 1132.9 | CPU: 16.6667 | Mem: 49.9884 | Temp: 62.809
Time: 1132.95 | CPU: 15 | Mem: 49.9884 | Temp: 62.809
Time: 1133 | CPU: 23.5294 | Mem: 49.9881 | Temp: 61.835
Time: 1133.05 | CPU: 10.5263 | Mem: 49.9881 | Temp: 62.809
Time: 1133.1 | CPU: 21.0526 | Mem: 49.9881 | Temp: 62.809
