time,cpu,mem,temp
0.057,0.0,11.5,69.1
0.107,27.8,11.5,68.2
0.157,31.6,11.6,68.7
0.207,22.2,11.6,69.1
0.257,33.3,11.6,67.7
0.307,26.3,11.6,68.2
0.357,31.6,11.6,68.7
0.407,22.2,11.6,68.2
0.457,28.6,11.6,69.1
0.508,36.8,11.6,68.2
0.557,47.4,11.6,68.2
0.607,29.4,11.6,69.1
0.657,30.0,11.6,68.2
0.707,47.6,11.5,68.7
0.757,58.8,11.6,69.6
0.807,31.6,11.6,69.1
0.857,47.6,11.6,69.1
0.907,15.8,11.6,68.7
0.957,5.3,11.6,68.2
1.007,0.0,11.6,68.7
1.057,16.7,11.6,68.2
1.107,20.0,11.6,67.7
1.157,35.0,11.6,68.2
1.207,31.6,11.6,67.7
1.257,10.0,11.6,68.7
1.307,0.0,11.6,67.7
1.357,14.3,11.6,68.2
1.407,31.6,11.6,68.7
1.460,76.2,11.7,68.2
1.507,66.7,11.7,68.2
1.557,28.6,11.7,67.7
1.607,5.6,11.5,68.2
1.657,5.0,11.5,68.2
1.707,11.1,11.5,67.7
1.758,47.6,11.5,66.7
1.807,31.6,11.5,69.1
1.862,61.9,11.5,68.2
1.907,29.4,11.5,68.2
1.957,33.3,11.5,68.2
2.007,57.9,11.5,69.1
2.057,72.2,11.5,69.1
2.107,26.3,11.6,67.7
2.157,33.3,11.6,68.2
2.207,22.2,11.6,69.1
2.257,30.0,11.6,68.2
2.307,26.3,11.6,68.2
2.357,26.3,11.6,68.2
2.407,30.0,11.6,69.1
2.457,60.0,11.6,68.2
2.508,66.7,11.6,68.7
2.560,70.0,11.7,68.2
2.607,37.5,11.7,68.7
2.657,42.1,11.7,69.6
2.707,36.8,11.7,68.7
2.757,66.7,11.6,68.7
2.807,76.2,11.6,69.1
2.857,38.9,11.6,68.2
2.907,68.4,11.6,70.1
2.957,54.5,11.6,69.6
3.007,5.9,11.6,68.7
3.057,33.3,11.6,69.1
3.107,63.2,11.6,69.6
3.157,73.7,11.6,69.1
3.207,47.4,11.6,68.7
3.257,28.6,11.6,68.7
3.307,36.8,11.6,68.2
3.357,36.8,11.6,67.7
3.407,33.3,11.6,67.7
3.457,30.0,11.6,68.7
3.507,33.3,11.7,68.7
