[INFO] [1775501110.899943983] [pi_metrics_publisher]: Pi Metrics | t: 0.057 | CPU: 0.0% | Mem: 11.5% | Temp: 69.1 C
[INFO] [1775501110.948368039] [pi_metrics_publisher]: Pi Metrics | t: 0.107 | CPU: 27.8% | Mem: 11.5% | Temp: 68.2 C
[INFO] [1775501110.998384835] [pi_metrics_publisher]: Pi Metrics | t: 0.157 | CPU: 31.6% | Mem: 11.6% | Temp: 68.7 C
[INFO] [1775501111.048364224] [pi_metrics_publisher]: Pi Metrics | t: 0.207 | CPU: 22.2% | Mem: 11.6% | Temp: 69.1 C
[INFO] [1775501111.098373613] [pi_metrics_publisher]: Pi Metrics | t: 0.257 | CPU: 33.3% | Mem: 11.6% | Temp: 67.7 C
[INFO] [1775501111.148348891] [pi_metrics_publisher]: Pi Metrics | t: 0.307 | CPU: 26.3% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501111.198350687] [pi_metrics_publisher]: Pi Metrics | t: 0.357 | CPU: 31.6% | Mem: 11.6% | Temp: 68.7 C
[INFO] [1775501111.248401650] [pi_metrics_publisher]: Pi Metrics | t: 0.407 | CPU: 22.2% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501111.298357965] [pi_metrics_publisher]: Pi Metrics | t: 0.457 | CPU: 28.6% | Mem: 11.6% | Temp: 69.1 C
[INFO] [1775501111.349705242] [pi_metrics_publisher]: Pi Metrics | t: 0.508 | CPU: 36.8% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501111.398414039] [pi_metrics_publisher]: Pi Metrics | t: 0.557 | CPU: 47.4% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501111.448416205] [pi_metrics_publisher]: Pi Metrics | t: 0.607 | CPU: 29.4% | Mem: 11.6% | Temp: 69.1 C
[INFO] [1775501111.498844002] [pi_metrics_publisher]: Pi Metrics | t: 0.657 | CPU: 30.0% | Mem: 11.6% | Temp: 68.2 C
[INFO] [1775501111.548490131] [pi_metrics_publisher]: Pi Metrics | t: 0.707 | CPU: 47.6% | Mem: 11.5% | Temp: 68.7 C
